"JURISDICTION","Mean(FINES)"
"QLD",3785.157142857144
"NSW",2536.896358543416
"WA",1731.98901098901
"VIC",980.3168567807371
"TAS",619.7768595041323
"ACT",360.45026178010477
"SA",235.13503184713383
"NT",193.7701612903226
